Date,Time,User full name,Affected user,Event context,Component,Event name,Description,Origin,IP address
15/05/2026,11:21:36,Keith Cheung as ( ͡° ͜ʖ ͡°) Dummy02 Student02,-,Forum: Collaborative Peer Excel Questions - Week 1 | Due Date: Sunday 22 February (11.59 pm),Forum,Discussion viewed,The user with id '85395' has viewed the discussion with id '2679092' in the forum with course module id '8789439'.,web,115.70.50.39
15/05/2026,11:21:36,Keith Cheung as ( ͡° ͜ʖ ͡°) Dummy02 Student02,-,Forum: Collaborative Peer Excel Questions - Week 1 | Due Date: Sunday 22 February (11.59 pm),Forum,Post created,The user with id '85395' has created the post with id '8556287' in the discussion with id '2679092' in the forum with course module id '8789439'.,web,115.70.50.39
15/05/2026,11:21:36,Keith Cheung as ( ͡° ͜ʖ ͡°) Dummy02 Student02,-,Forum: Collaborative Peer Excel Questions - Week 1 | Due Date: Sunday 22 February (11.59 pm),Forum,Some content has been posted.,The user with id '85395' has posted content in the forum post with id '8556287' in the discussion '2679092' located in the forum with course module id '8789439'.,web,115.70.50.39
15/05/2026,11:21:19,Keith Cheung as ( ͡° ͜ʖ ͡°) Dummy02 Student02,-,Forum: Collaborative Peer Excel Questions - Week 1 | Due Date: Sunday 22 February (11.59 pm),Forum,Discussion viewed,The user with id '85395' has viewed the discussion with id '2679092' in the forum with course module id '8789439'.,web,115.70.50.39
15/05/2026,11:11:52,Keith Cheung as Dummy01 Student01,-,Forum: Collaborative Peer Excel Questions - Week 1 | Due Date: Sunday 22 February (11.59 pm),Forum,Discussion viewed,The user with id '85394' has viewed the discussion with id '2679092' in the forum with course module id '8789439'.,web,115.70.50.39
15/05/2026,11:11:51,Keith Cheung as Dummy01 Student01,-,Forum: Collaborative Peer Excel Questions - Week 1 | Due Date: Sunday 22 February (11.59 pm),Forum,Post created,The user with id '85394' has created the post with id '8556280' in the discussion with id '2679092' in the forum with course module id '8789439'.,web,115.70.50.39
15/05/2026,11:11:51,Keith Cheung as Dummy01 Student01,-,Forum: Collaborative Peer Excel Questions - Week 1 | Due Date: Sunday 22 February (11.59 pm),Forum,Some content has been posted.,The user with id '85394' has posted content in the forum post with id '8556280' in the discussion '2679092' located in the forum with course module id '8789439'.,web,115.70.50.39
15/05/2026,11:11:16,Keith Cheung as Dummy01 Student01,-,Forum: Collaborative Peer Excel Questions - Week 1 | Due Date: Sunday 22 February (11.59 pm),Forum,Discussion viewed,The user with id '85394' has viewed the discussion with id '2679092' in the forum with course module id '8789439'.,web,115.70.50.39
14/05/2026,12:58:20,Keith Cheung as Dummy01 Student01,-,Forum: Collaborative Peer Excel Questions - Week 1 | Due Date: Sunday 22 February (11.59 pm),Forum,Discussion viewed,The user with id '85394' has viewed the discussion with id '2679092' in the forum with course module id '8789439'.,web,115.70.50.39
14/05/2026,12:57:37,Keith Cheung,-,Forum: Collaborative Peer Excel Questions - Week 1 | Due Date: Sunday 22 February (11.59 pm),Forum,Discussion viewed,The user with id '2891052' has viewed the discussion with id '2679092' in the forum with course module id '8789439'.,web,115.70.50.39
